table	manuscript_line	row	column	printed	artifact_value	verdict	source
3B	254	TRASH (de novo)	TR-1 Offset (bp)	10,561	10561.32	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	254	TRASH (de novo)	Runtime (h)	58.8	58.845	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite_run.log
3B	254	TRASH (de novo)	Memory (GiB)	12.78	12.778438568115234375	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite_run.log
3B	255	TRASH (template)	knob180 (of 25)	25	25	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	255	TRASH (template)	TR-1 (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	255	TRASH (template)	knob180 Frag. Score	0.05	0.05	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	255	TRASH (template)	knob180 Offset (bp)	10,086	10086.16	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	255	TRASH (template)	TR-1 Offset (bp)	8,973	8973.15	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	255	TRASH (template)	Runtime (h)	101.7	101.745	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite_run.log
3B	255	TRASH (template)	Memory (GiB)	120.64	120.640270233154296875	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_knob180_exp3B_satellite_run.log
3B	256	longdust (2026)	knob180 (of 25)	0	0	REJECTED	results/comparators2026/score_2026_maize.txt: no calls at gap zero
3B	256	longdust (2026)	TR-1 (of 17)	0	0	REJECTED	results/comparators2026/score_2026_maize.txt: no calls at gap zero
3B	256	longdust (2026)	Runtime (h)	0.30	0.3000416666666666666666666667	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_maize_default.time
3B	256	longdust (2026)	Memory (GiB)	0.58	0.575347900390625	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_maize_default.time
3B	257	longdust `-k8 -w20000` (2026)	knob180 (of 25)	0	0	REJECTED	results/comparators2026/score_2026_maize.txt: no calls at gap zero
3B	257	longdust `-k8 -w20000` (2026)	TR-1 (of 17)	0	0	REJECTED	results/comparators2026/score_2026_maize.txt: no calls at gap zero
3B	257	longdust `-k8 -w20000` (2026)	Runtime (h)	3.89	3.894444444444444444444444444	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_maize_k8w20000.time
3B	257	longdust `-k8 -w20000` (2026)	Memory (GiB)	0.58	0.57546234130859375	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_maize_k8w20000.time
3B	258	AniAnn's (2026)	knob180 (of 25)	22	22	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3B	258	AniAnn's (2026)	TR-1 (of 17)	14	14	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3B	258	AniAnn's (2026)	knob180 Frag. Score	0.18	0.18	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3B	258	AniAnn's (2026)	knob180 Offset (bp)	22,581	22580.77	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3B	258	AniAnn's (2026)	TR-1 Offset (bp)	83,740	83740.04	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3B	258	AniAnn's (2026)	Runtime (h)	1.57	1.573888888888888888888888889	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_maize.time
3B	258	AniAnn's (2026)	Memory (GiB)	0.55	0.546062469482421875	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_maize.time
3B-b	264	knob180/TRASH (de novo)/unfiltered	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	264	knob180/TRASH (de novo)/unfiltered	Coverage (%)	81.23	81.2250210716241	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	264	knob180/TRASH (de novo)/unfiltered	Offset (bp)	9,845	9845.2	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	265	knob180/BWTandem/unfiltered	Detected	25/25	25/25	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3B-b	265	knob180/BWTandem/unfiltered	Coverage (%)	79.79	79.79471335240267	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3B-b	265	knob180/BWTandem/unfiltered	Offset (bp)	251.8	251.78	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3B-b	266	knob180/TRF/unfiltered	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	266	knob180/TRF/unfiltered	Coverage (%)	80.01	80.0096715686096	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	266	knob180/TRF/unfiltered	Offset (bp)	652.0	651.96	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	267	knob180/ULTRA/unfiltered	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize unfiltered
3B-b	267	knob180/ULTRA/unfiltered	Coverage (%)	78.71	78.70912512936675	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize unfiltered
3B-b	267	knob180/ULTRA/unfiltered	Offset (bp)	203.4	203.38	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize unfiltered
3B-b	268	knob180/tantan/unfiltered	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize unfiltered
3B-b	268	knob180/tantan/unfiltered	Coverage (%)	71.92	71.92355636951125	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize unfiltered
3B-b	268	knob180/tantan/unfiltered	Offset (bp)	156.0	156.0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize unfiltered
3B-b	269	knob180/BWTandem/banded	Detected	25/25	25/25	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3B-b	269	knob180/BWTandem/banded	Coverage (%)	64.20	64.20234882686118	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3B-b	269	knob180/BWTandem/banded	Offset (bp)	4,265	4265.3	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3B-b	270	knob180/TRF/banded	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize banded
3B-b	270	knob180/TRF/banded	Coverage (%)	79.38	79.37667310179027	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize banded
3B-b	270	knob180/TRF/banded	Offset (bp)	610.6	610.64	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize banded
3B-b	271	knob180/ULTRA/banded	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize banded
3B-b	271	knob180/ULTRA/banded	Coverage (%)	77.51	77.51106049515248	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize banded
3B-b	271	knob180/ULTRA/banded	Offset (bp)	660.8	660.82	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize banded
3B-b	272	knob180/tantan/banded	Detected	25/25	25/25	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize banded
3B-b	272	knob180/tantan/banded	Coverage (%)	71.42	71.41703148327913	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize banded
3B-b	272	knob180/tantan/banded	Offset (bp)	687.3	687.34	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize banded
3B-b	273	TR-1/TRASH (de novo)/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	273	TR-1/TRASH (de novo)/unfiltered	Coverage (%)	53.17	53.17191463050009	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	273	TR-1/TRASH (de novo)/unfiltered	Offset (bp)	10,561	10561.32	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	274	TR-1/BWTandem/unfiltered	Detected	17/17	17/17	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3B-b	274	TR-1/BWTandem/unfiltered	Coverage (%)	50.34	50.335993757089206	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3B-b	274	TR-1/BWTandem/unfiltered	Offset (bp)	770.7	770.65	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3B-b	275	TR-1/TRF/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	275	TR-1/TRF/unfiltered	Coverage (%)	45.77	45.77091609020762	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	275	TR-1/TRF/unfiltered	Offset (bp)	884.9	884.85	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize unfiltered
3B-b	276	TR-1/ULTRA/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize unfiltered
3B-b	276	TR-1/ULTRA/unfiltered	Coverage (%)	36.36	36.361650167835855	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize unfiltered
3B-b	276	TR-1/ULTRA/unfiltered	Offset (bp)	475.9	475.88	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize unfiltered
3B-b	277	TR-1/tantan/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize unfiltered
3B-b	277	TR-1/tantan/unfiltered	Coverage (%)	22.74	22.739453392752175	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize unfiltered
3B-b	277	TR-1/tantan/unfiltered	Offset (bp)	658.3	658.32	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize unfiltered
3B-b	278	TR-1/BWTandem/banded	Detected	17/17	17/17	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3B-b	278	TR-1/BWTandem/banded	Coverage (%)	17.33	17.326009710139918	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3B-b	278	TR-1/BWTandem/banded	Offset (bp)	7,973	7973.15	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize banded
3B-b	279	TR-1/TRF/banded	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize banded
3B-b	279	TR-1/TRF/banded	Coverage (%)	44.23	44.230222929137405	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize banded
3B-b	279	TR-1/TRF/banded	Offset (bp)	1,462	1461.59	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize banded
3B-b	280	TR-1/ULTRA/banded	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize banded
3B-b	280	TR-1/ULTRA/banded	Coverage (%)	33.55	33.54630622128298	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize banded
3B-b	280	TR-1/ULTRA/banded	Offset (bp)	1,856	1855.68	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize banded
3B-b	281	TR-1/tantan/banded	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize banded
3B-b	281	TR-1/tantan/banded	Coverage (%)	21.36	21.36200272144265	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize banded
3B-b	281	TR-1/tantan/banded	Offset (bp)	3,693	3692.59	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize banded
3C	296	TRASH (template)	CentC (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	296	TRASH (template)	Cen. Coverage (%)	58.68	58.68451580604715	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	296	TRASH (template)	Frag. Score	0.05	0.05	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	296	TRASH (template)	Mean Offset (bp)	5,319	5318.71	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	296	TRASH (template)	Runtime (h)	97.8	97.75	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc_run.log
3C	296	TRASH (template)	Memory (GiB)	42.83	42.830265045166015625	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_CentC_exp3C_centc_run.log
3C	297	BWTandem	CentC (of 17)	17	17	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3C	297	BWTandem	Cen. Coverage (%)	58.55	58.548616573354025	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3C	297	BWTandem	Frag. Score	0.00	0.0	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3C	297	BWTandem	Mean Offset (bp)	170.1	170.12	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3C	297	BWTandem	Runtime (h)	15.9	15.85083333333333333333333333	REJECTED	sacct:6124640.batch
3C	297	BWTandem	Memory (GiB)	28.45	28.449993133544921875	REJECTED	sacct:6124640.batch
3C	298	TRF	CentC (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	298	TRF	Cen. Coverage (%)	58.50	58.504213696130364	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	298	TRF	Frag. Score	0.01	0.01	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	298	TRF	Mean Offset (bp)	69.6	69.62	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize raw calls
3C	298	TRF	Runtime (h)	5.5	5.482222222222222222222222222	REJECTED	results/competitor_logs/trf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc_run.log
3C	298	TRF	Memory (GiB)	1.20	1.196598052978515625	REJECTED	results/competitor_logs/trf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc_run.log
3C	299	ULTRA	CentC (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize raw calls
3C	299	ULTRA	Cen. Coverage (%)	57.73	57.72782405443484	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize raw calls
3C	299	ULTRA	Frag. Score	0.00	0.0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize raw calls
3C	299	ULTRA	Mean Offset (bp)	58.1	58.09	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize raw calls
3C	299	ULTRA	Runtime (h)	12.9	12.85666666666666666666666667	REJECTED	results/competitor_logs/ultra__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ultra_exp3C_centc_run.log
3C	299	ULTRA	Memory (GiB)	3.38	3.380706787109375	REJECTED	results/competitor_logs/ultra__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ultra_exp3C_centc_run.log
3C	300	tantan	CentC (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize raw calls
3C	300	tantan	Cen. Coverage (%)	56.51	56.50881462387826	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize raw calls
3C	300	tantan	Frag. Score	0.00	0.0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize raw calls
3C	300	tantan	Mean Offset (bp)	59.5	59.53	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize raw calls
3C	300	tantan	Runtime (h)	1.4	1.380555555555555555555555556	REJECTED	sacct:6085143.batch
3C	300	tantan	Memory (GiB)	0.50	0.3729400634765625	CONFIRMED	sacct:6085143.batch
3C	301	longdust (2026)	CentC (of 17)	0	0	REJECTED	results/comparators2026/score_2026_maize.txt: no calls at gap zero
3C	301	longdust (2026)	Cen. Coverage (%)	0.00	0	REJECTED	results/comparators2026/score_2026_maize.txt: no calls at gap zero
3C	301	longdust (2026)	Runtime (h)	0.30	0.3000416666666666666666666667	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_maize_default.time
3C	301	longdust (2026)	Memory (GiB)	0.58	0.575347900390625	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_maize_default.time
3C	302	AniAnn's (2026)	CentC (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3C	302	AniAnn's (2026)	Cen. Coverage (%)	81.42	81.41614610568537	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3C	302	AniAnn's (2026)	Frag. Score	0.22	0.21	CONFIRMED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3C	302	AniAnn's (2026)	Mean Offset (bp)	14,917	14916.76	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed; pass3-checks.py maize raw calls
3C	302	AniAnn's (2026)	Runtime (h)	1.57	1.573888888888888888888888889	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_maize.time
3C	302	AniAnn's (2026)	Memory (GiB)	0.55	0.546062469482421875	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_maize.time
3C-b	308	BWTandem/unfiltered	Detected	17/17	17/17	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3C-b	308	BWTandem/unfiltered	Coverage (%)	58.55	58.548616573354025	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3C-b	308	BWTandem/unfiltered	Offset (bp)	170.1	170.12	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize unfiltered
3C-b	309	TRF/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize unfiltered
3C-b	309	TRF/unfiltered	Coverage (%)	58.50	58.504213696130364	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize unfiltered
3C-b	309	TRF/unfiltered	Offset (bp)	69.6	69.62	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3C_centc.bed; pass3-checks.py maize unfiltered
3C-b	310	ULTRA/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize unfiltered
3C-b	310	ULTRA/unfiltered	Coverage (%)	57.73	57.72782405443484	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize unfiltered
3C-b	310	ULTRA/unfiltered	Offset (bp)	58.1	58.09	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3C.bed; pass3-checks.py maize unfiltered
3C-b	311	tantan/unfiltered	Detected	17/17	17/17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w200.bed; pass3-checks.py maize unfiltered
